"PNuid_NLidu","Name_en","Nom_fr","Latitude","Longitude","satellite_dep","wo_backbone_fibre_sans_fibre_dorsale","CTI_backbone_dorsale_BPI"
5958,"Mortimers Point","Mortimers Point",45.05024,-79.556568,0,0,0
5959,"Walkers Point","Walkers Point",45.019722,-79.453055,0,0,0
5960,"Golden Beach","Golden Beach",45.032557,-79.378662,0,0,0
5961,"Muskoka Beach","Muskoka Beach",44.960955,-79.365727,0,0,0
5962,"Glen Echo","Glen Echo",44.98306,-79.466071,0,0,0
5963,"Torrance","Torrance",44.995,-79.568611,0,0,0
5964,"Bala Park","Bala Park",45.01361111,-79.58657222,0,0,0
5965,"Severn Bridge","Severn Bridge",44.7775,-79.335554,0,0,0
5966,"Port Stanton","Port Stanton",44.796388,-79.40611,0,0,0
5967,"Scarlet Park","Scarlet Park",44.7225,-79.365278,0,0,0
5968,"New Uhthoff","New Uhthoff",44.691389,-79.490554,0,0,0
5969,"Port Severn","Port Severn",44.80172,-79.708644,0,0,0
5970,"Forest Harbour","Forest Harbour",44.775128,-79.706004,0,0,0
5971,"Waubaushene","Waubaushene",44.753861,-79.709637,0,0,0
5972,"Port McNicoll","Port McNicoll",44.749445,-79.810556,0,0,0
5973,"Honey Harbour","Honey Harbour",44.86667,-79.812413,0,0,0
5974,"Big Chute","Big Chute",44.884722,-79.677222,0,0,0
5975,"Severn Falls","Severn Falls",44.874167,-79.602778,0,0,0
5976,"Swift Rapids","Swift Rapids",44.85248,-79.540761,0,0,0
5977,"Southwood","Southwood",44.906945,-79.503612,0,0,0
5978,"Victoria Harbour","Victoria Harbour",44.750664,-79.768051,0,0,0
5979,"Midland","Midland",44.750277,-79.883611,0,0,0
5980,"Penetanguishene","Penetanguishene",44.771895,-79.929087,0,0,0
5982,"Sawlog Bay","Sawlog Bay",44.858333,-79.939167,0,0,0
5983,"Ishpiming Beach","Ishpiming Beach",44.743889,-80.102499,0,0,0
5984,"Lafontaine","Lafontaine",44.758333,-80.052222,0,0,0
5985,"Kettle's Beach","Kettle's Beach",44.855523,-79.968517,0,0,0
5986,"Coutnac Beach","Coutnac Beach",44.83,-79.917223,0,0,0
5987,"Peekaboo Point","Peekaboo Point",44.817777,-79.928888,0,0,0
5988,"Cedar Point","Cedar Point",44.806423,-80.11089,0,0,0
5989,"Silver Birch Beach","Silver Birch Beach",44.818133,-80.035098,0,0,0
5990,"Ivy","Ivy",44.288055,-79.774446,0,0,0
5991,"Joyland Beach","Joyland Beach",44.571666,-79.32139,0,0,0
5992,"Gamebridge Beach","Gamebridge Beach",44.500728,-79.191572,0,0,0
